,name,total_money_raised,latitude,longitude,geometry
0,Digg,$45M,37.764726,-122.394523,POINT (-122.394523 37.764726)
1,Twitter,$1.16B,37.7768052,-122.4169244,POINT (-122.4169244 37.7768052)
2,StumbleUpon,$18.5M,37.775196,-122.419204,POINT (-122.419204 37.775196)
3,Scribd,$25.8M,37.789634,-122.404052,POINT (-122.404052 37.789634)
4,Powerset,$22.5M,37.778613,-122.395289,POINT (-122.395289 37.778613)
5,Technorati,$32.1M,37.779558,-122.393041,POINT (-122.393041 37.779558)
6,AddThis,$73M,38.926172,-77.245195,POINT (-77.245195 38.926172)
7,Kyte,$23.4M,37.788482,-122.409173,POINT (-122.409173 37.788482)
8,Wesabe,$4.7M,37.793148,-122.402567,POINT (-122.402567 37.793148)
9,Prosper,$120M,37.78976,-122.402524,POINT (-122.402524 37.78976)
10,Google,$555M,37.421972,-122.084143,POINT (-122.084143 37.421972)
11,Ustream,$60.1M,37.392936,-122.07948,POINT (-122.07948 37.392936)
12,Revision3,$9M,37.757758,-122.388243,POINT (-122.388243 37.757758)
13,CastTV,$3.1M,37.780716,-122.393913,POINT (-122.393913 37.780716)
14,iSkoot,$32.2M,42.375392,-71.118487,POINT (-71.118487 42.375392)
15,Mashery,$34.7M,37.7870842,-122.4038047,POINT (-122.4038047 37.7870842)
16,Yelp,$90M,37.786183,-122.402195,POINT (-122.402195 37.786183)
17,KickApps,$32M,40.7516611,-73.9843328,POINT (-73.9843328 40.7516611)
18,Pageflakes,$4.1M,37.758113,-122.414689,POINT (-122.414689 37.758113)
19,Netvibes,$16M,48.870806,2.34668,POINT (2.34668 48.870806)
20,Slide,$78M,37.781427,-122.392144,POINT (-122.392144 37.781427)
21,Bebo,$15M,37.782103,-122.401116,POINT (-122.401116 37.782103)
22,adBrite,$40.4M,37.779026,-122.40184,POINT (-122.40184 37.779026)
23,Loomia,$7.5M,37.796396,-122.404869,POINT (-122.404869 37.796396)
24,Meebo,$70M,37.393679,-122.079017,POINT (-122.079017 37.393679)
25,Eventbrite,$140M,37.779507,-122.39071,POINT (-122.39071 37.779507)
26,GigaOM,$14.3M,37.775196,-122.419204,POINT (-122.419204 37.775196)
27,Seesmic,$16M,37.775196,-122.419204,POINT (-122.419204 37.775196)
28,GoingOn,$8.5M,37.782263,-122.392142,POINT (-122.392142 37.782263)
29,Flixster,$7.18M,37.766909,-122.406676,POINT (-122.406676 37.766909)
30,Piczo,$11M,37.793703,-122.398479,POINT (-122.398479 37.793703)
